,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,emabarked,fare_capped,family_size,is_alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,S,7.25,2,0
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,S,7.925,1,1
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,S,53.1,2,0
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,Q,8.4583,1,1
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,S,51.8625,1,1
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,S,21.075,5,0
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,S,11.1333,3,0
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,C,30.0708,2,0
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,S,16.7,3,0
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,S,26.55,1,1
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,S,31.275,7,0
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,S,7.8542,1,1
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,S,16.0,1,1
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,Q,29.125,6,0
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,Southampton,yes,True,S,13.0,1,1
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,S,18.0,2,0
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,C,7.225,1,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,S,26.0,1,1
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,S,13.0,1,1
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,Q,8.0292,1,1
23,1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,S,35.5,1,1
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,S,21.075,5,0
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,S,31.3875,7,0
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,Cherbourg,no,True,C,7.225,1,1
27,0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,S,65.6344,6,0
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,Q,7.8792,1,1
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,Southampton,no,True,S,7.8958,1,1
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,C,27.7208,1,1
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,C,65.6344,2,0
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,Q,7.75,1,1
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,S,10.5,1,1
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,C,65.6344,2,0
35,0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,S,52.0,2,0
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,C,7.2292,1,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,S,8.05,1,1
